"logIndex","timestamp","status","PackTemp","PackTemp-l","PackSOC","Vpack","MotAmps","BattAmps","Mods","MotTemp","CtrlTemp","MotRPM","0Module00DisconnectingHPmodvolt","0Module01DisconnectingHPmodvolt","0Module01Registeredmodvolt","0Module00Registeredmodvolt","minsys","diff"
3027,1403705060000,"Riding","17C","16C","95%","115.451V","0","2","11","22C","20C","0",,,,,,
3028,1403705063000,"Riding","17C","16C","95%","115.448V","0","2","11","22C","20C","0",,,,,,
3029,1403705066000,"Riding","17C","16C","95%","115.454V","0","2","11","22C","20C","0",,,,,,
3030,1403705069000,"Riding","17C","16C","95%","115.454V","0","2","11","22C","20C","0",,,,,,
3031,1403705072000,"Riding","17C","16C","95%","115.449V","0","2","11","22C","20C","0",,,,,,
3032,1403705075000,"Riding","17C","16C","95%","115.449V","0","2","11","22C","20C","0",,,,,,
3033,1403705078000,"Riding","17C","17C","95%","115.452V","0","2","11","22C","20C","0",,,,,,
3034,1403705081000,"Riding","17C","16C","95%","115.455V","0","2","11","22C","20C","0",,,,,,
3035,1403705084000,"Riding","17C","17C","95%","115.451V","0","2","11","22C","20C","0",,,,,,
3036,1403705087000,"Riding","17C","16C","95%","115.453V","0","2","11","22C","20C","0",,,,,,
3037,1403705090000,"Riding","17C","17C","95%","115.450V","0","2","11","22C","20C","0",,,,,,
3038,1403705093000,"Riding","17C","16C","95%","115.452V","0","2","11","22C","20C","0",,,,,,
3039,1403705096000,"Riding","17C","16C","95%","115.455V","0","3","11","22C","20C","0",,,,,,
3040,1403705099000,"Riding","17C","16C","95%","115.451V","0","2","11","22C","20C","0",,,,,,
3041,1403705102000,"Riding","17C","16C","95%","115.452V","0","1","11","22C","20C","0",,,,,,
3042,1403705105000,"Riding","17C","16C","95%","115.450V","0","2","11","22C","20C","0",,,,,,
3043,1403705108000,"Riding","17C","16C","95%","115.450V","0","2","11","22C","20C","0",,,,,,
3044,1403705111000,"Riding","17C","16C","95%","115.450V","0","2","11","22C","20C","0",,,,,,
3045,1403705114000,"Riding","17C","16C","95%","115.448V","0","2","11","22C","20C","0",,,,,,
3046,1403705117000,"Riding","17C","16C","95%","115.450V","0","2","11","22C","20C","0",,,,,,
3047,1403705120000,"Riding","17C","17C","95%","115.452V","0","2","11","22C","20C","0",,,,,,
3048,1403705123000,"Riding","17C","16C","95%","115.448V","0","2","11","22C","20C","0",,,,,,
3049,1403705126000,"Riding","17C","17C","95%","115.452V","0","2","11","22C","20C","0",,,,,,
3050,1403705129000,"Riding","17C","16C","95%","115.453V","0","2","11","22C","20C","0",,,,,,
3051,1403705132000,"Riding","17C","17C","95%","115.450V","0","2","11","22C","20C","0",,,,,,
3052,1403705135000,"Riding","17C","16C","95%","115.452V","0","2","11","22C","20C","0",,,,,,
3053,1403705138000,"Riding","17C","17C","95%","115.454V","0","2","11","22C","20C","0",,,,,,
3054,1403705141000,"Riding","17C","16C","95%","115.448V","0","1","11","22C","20C","0",,,,,,
3055,1403705144000,"Riding","17C","17C","95%","115.448V","0","2","11","22C","20C","0",,,,,,
3056,1403705147000,"Riding","17C","17C","95%","115.449V","0","2","11","22C","20C","0",,,,,,
3057,1403705150000,"Riding","17C","17C","95%","115.452V","0","2","11","22C","20C","0",,,,,,
3058,1403705153000,"Riding","17C","17C","95%","115.444V","0","1","11","22C","20C","0",,,,,,
3059,1403705156000,"Riding","17C","17C","95%","115.449V","0","2","11","22C","20C","0",,,,,,
3060,1403705159000,"Riding","17C","16C","95%","115.448V","0","2","11","22C","20C","0",,,,,,
3061,1403705162000,"Riding","17C","17C","95%","115.449V","0","1","11","22C","20C","0",,,,,,
3062,1403705165000,"Riding","17C","16C","95%","115.444V","0","2","11","22C","20C","0",,,,,,
3063,1403705168000,"Riding","17C","16C","95%","115.448V","0","2","11","22C","20C","0",,,,,,
3064,1403705171000,"Riding","17C","16C","95%","115.446V","0","2","11","22C","20C","0",,,,,,
3065,1403705174000,"Riding","17C","17C","95%","115.444V","0","2","11","22C","20C","0",,,,,,
3066,1403705177000,"Riding","18C","17C","95%","115.445V","0","2","11","22C","20C","0",,,,,,
3067,1403705180000,"Riding","17C","17C","95%","115.448V","0","2","11","22C","21C","0",,,,,,
