"logIndex","timestamp","status","PackTemp","PackTemp-l","PackSOC","Vpack","MotAmps","BattAmps","Mods","MotTemp","CtrlTemp","MotRPM","0Module00DisconnectingHPmodvolt","0Module01DisconnectingHPmodvolt","0Module01Registeredmodvolt","0Module00Registeredmodvolt","minsys","diff"
1,1403696286000,"Riding","20C","19C","86%","113.666V","0","-13","11","30C","12C","0",,,,,,
2,1403696289000,"Riding","20C","19C","86%","113.551V","0","-14","11","30C","12C","0",,,,,,
3,1403696292000,"Riding","20C","19C","86%","113.686V","0","-15","11","30C","12C","0",,,,,,
4,1403696295000,"Riding","20C","19C","86%","113.608V","0","-16","11","30C","12C","0",,,,,,
5,1403696298000,"Riding","20C","19C","86%","113.673V","0","-14","11","30C","12C","0",,,,,,
6,1403696301000,"Riding","21C","19C","86%","113.253V","0","-25","11","30C","12C","0",,,,,,
7,1403696304000,"Riding","20C","19C","86%","113.328V","0","-16","11","30C","12C","0",,,,,,
8,1403696307000,"Riding","20C","19C","86%","113.303V","0","-17","11","30C","12C","0",,,,,,
9,1403696310000,"Riding","20C","19C","86%","113.225V","0","-20","11","30C","12C","0",,,,,,
10,1403696313000,"Riding","20C","19C","86%","113.118V","0","-25","11","30C","12C","0",,,,,,
11,1403696316000,"Riding","20C","19C","86%","113.769V","0","-16","11","30C","12C","0",,,,,,
12,1403696319000,"Riding","20C","19C","86%","113.649V","0","-3","11","30C","12C","0",,,,,,
13,1403696322000,"Riding","20C","19C","86%","113.561V","0","-3","11","30C","12C","0",,,,,,
14,1403696325000,"Riding","20C","19C","86%","113.390V","0","-15","11","30C","12C","0",,,,,,
15,1403696328000,"Riding","20C","19C","86%","113.267V","0","-21","11","30C","12C","0",,,,,,
16,1403696331000,"Riding","20C","19C","86%","113.211V","0","-24","11","30C","12C","0",,,,,,
17,1403696334000,"Riding","20C","19C","86%","113.173V","0","-27","11","30C","12C","0",,,,,,
18,1403696337000,"Riding","20C","19C","86%","113.171V","0","-29","11","30C","12C","0",,,,,,
19,1403696340000,"Riding","20C","19C","86%","113.180V","0","-30","11","30C","12C","0",,,,,,
20,1403696343000,"Riding","20C","19C","86%","113.189V","0","-33","11","29C","12C","0",,,,,,
21,1403696346000,"Riding","20C","18C","86%","113.206V","0","-33","11","29C","12C","0",,,,,,
22,1403696349000,"Riding","20C","19C","86%","113.269V","0","-35","11","30C","12C","0",,,,,,
23,1403696352000,"Riding","20C","18C","86%","113.449V","0","-30","11","30C","12C","0",,,,,,
24,1403696355000,"Riding","20C","19C","86%","113.652V","0","-27","11","30C","12C","0",,,,,,
25,1403696358000,"Riding","20C","19C","86%","113.826V","0","-21","11","29C","12C","0",,,,,,
26,1403696361000,"Riding","20C","19C","86%","113.928V","0","-11","11","30C","12C","0",,,,,,
27,1403696364000,"Riding","20C","18C","86%","114.096V","0","-15","11","30C","12C","0",,,,,,
28,1403696367000,"Riding","20C","19C","86%","114.038V","0","-10","11","30C","12C","0",,,,,,
29,1403696370000,"Riding","20C","18C","86%","114.035V","0","-6","11","30C","12C","0",,,,,,
30,1403696373000,"Riding","20C","19C","86%","113.949V","0","-6","11","29C","12C","0",,,,,,
31,1403696376000,"Riding","20C","18C","86%","113.875V","0","-12","11","30C","12C","0",,,,,,
32,1403696379000,"Riding","20C","18C","86%","114.112V","0","-13","11","30C","12C","0",,,,,,
33,1403696382000,"Riding","20C","18C","86%","113.991V","0","-11","11","30C","12C","0",,,,,,
34,1403696385000,"Riding","20C","18C","86%","114.107V","0","-6","11","29C","12C","0",,,,,,
35,1403696388000,"Riding","20C","18C","86%","114.080V","0","-7","11","30C","12C","0",,,,,,
36,1403696391000,"Riding","20C","18C","86%","113.517V","0","-27","11","30C","12C","0",,,,,,
37,1403696394000,"Riding","20C","18C","86%","113.517V","0","-31","11","29C","12C","0",,,,,,
38,1403696397000,"Riding","20C","18C","86%","113.654V","0","-32","11","30C","12C","0",,,,,,
39,1403696400000,"Riding","20C","18C","86%","113.751V","0","-32","11","29C","12C","0",,,,,,
40,1403696403000,"Riding","20C","18C","86%","113.818V","0","-32","11","29C","12C","0",,,,,,
41,1403696406000,"Riding","20C","18C","86%","113.898V","0","-30","11","30C","12C","0",,,,,,
42,1403696409000,"Riding","20C","18C","86%","113.954V","0","-29","11","30C","12C","0",,,,,,
43,1403696412000,"Riding","20C","18C","86%","114.095V","0","-24","11","30C","12C","0",,,,,,
44,1403696415000,"Riding","20C","18C","86%","114.253V","0","-20","11","29C","12C","0",,,,,,
45,1403696418000,"Riding","20C","18C","86%","114.312V","0","-15","11","30C","12C","0",,,,,,
46,1403696421000,"Riding","20C","18C","86%","114.299V","0","-12","11","30C","12C","0",,,,,,
47,1403696424000,"Riding","20C","18C","86%","114.253V","0","-6","11","29C","12C","0",,,,,,
48,1403696427000,"Riding","20C","18C","86%","114.138V","0","-16","11","30C","12C","0",,,,,,
49,1403696430000,"Riding","20C","18C","86%","113.636V","0","-24","11","29C","12C","0",,,,,,
50,1403696433000,"Riding","20C","18C","86%","114.126V","0","-33","11","29C","12C","0",,,,,,
51,1403696436000,"Riding","20C","18C","86%","113.776V","0","-23","11","29C","12C","0",,,,,,
52,1403696439000,"Riding","20C","18C","86%","113.813V","0","-24","11","29C","12C","0",,,,,,
53,1403696442000,"Riding","20C","18C","86%","113.661V","0","-25","11","29C","12C","0",,,,,,
54,1403696445000,"Riding","20C","18C","86%","113.784V","0","-33","11","29C","12C","0",,,,,,
55,1403696448000,"Riding","20C","18C","86%","114.141V","0","-34","11","29C","12C","0",,,,,,
56,1403696451000,"Riding","20C","18C","86%","114.262V","0","-18","11","29C","12C","0",,,,,,
57,1403696454000,"Riding","20C","18C","86%","114.377V","0","-8","11","29C","12C","0",,,,,,
58,1403696457000,"Riding","20C","18C","86%","114.462V","0","-6","11","29C","12C","0",,,,,,
59,1403696460000,"Riding","20C","18C","86%","114.426V","0","-8","11","29C","12C","0",,,,,,
60,1403696463000,"Riding","20C","18C","86%","114.396V","0","-11","11","29C","12C","0",,,,,,
61,1403696466000,"Riding","20C","18C","86%","114.326V","0","-13","11","29C","12C","0",,,,,,
62,1403696469000,"Riding","20C","18C","86%","114.316V","0","-14","11","29C","12C","0",,,,,,
63,1403696472000,"Riding","20C","18C","86%","114.345V","0","-15","11","29C","12C","0",,,,,,
64,1403696475000,"Riding","20C","18C","86%","114.371V","0","-13","11","29C","12C","0",,,,,,
65,1403696478000,"Riding","20C","18C","86%","114.392V","0","-13","11","29C","12C","0",,,,,,
66,1403696481000,"Riding","20C","18C","86%","114.427V","0","-12","11","29C","12C","0",,,,,,
67,1403696484000,"Riding","20C","18C","86%","114.501V","0","-5","11","29C","12C","0",,,,,,
68,1403696487000,"Riding","20C","18C","86%","114.484V","0","-13","11","29C","12C","0",,,,,,
69,1403696490000,"Riding","20C","18C","86%","114.524V","0","-10","11","29C","12C","0",,,,,,
70,1403696493000,"Riding","20C","18C","86%","114.603V","0","-11","11","28C","12C","0",,,,,,
71,1403696496000,"Riding","20C","18C","86%","114.592V","0","-12","11","29C","12C","0",,,,,,
72,1403696499000,"Riding","20C","18C","86%","114.465V","0","-12","11","28C","12C","0",,,,,,
73,1403696502000,"Riding","20C","18C","86%","114.281V","0","-14","11","29C","12C","0",,,,,,
74,1403696505000,"Riding","20C","18C","86%","114.341V","0","-28","11","28C","12C","0",,,,,,
75,1403696508000,"Riding","20C","18C","86%","114.354V","0","-29","11","28C","12C","0",,,,,,
76,1403696511000,"Riding","20C","18C","86%","114.363V","0","-29","11","28C","12C","0",,,,,,
77,1403696514000,"Riding","20C","18C","86%","114.654V","0","-22","11","28C","12C","0",,,,,,
78,1403696517000,"Riding","20C","18C","86%","114.688V","0","-21","11","29C","12C","0",,,,,,
79,1403696520000,"Riding","20C","18C","86%","114.711V","0","-20","11","29C","12C","0",,,,,,
80,1403696523000,"Riding","20C","18C","86%","114.614V","0","-17","11","28C","12C","0",,,,,,
81,1403696526000,"Riding","20C","18C","86%","114.621V","0","-16","11","28C","12C","0",,,,,,
82,1403696529000,"Riding","20C","18C","86%","114.625V","0","-12","11","28C","12C","0",,,,,,
83,1403696532000,"Riding","20C","18C","86%","114.699V","0","-12","11","28C","12C","0",,,,,,
84,1403696535000,"Riding","20C","18C","86%","114.645V","0","-3","11","28C","12C","0",,,,,,
85,1403696538000,"Riding","20C","18C","86%","114.638V","0","-6","11","28C","12C","0",,,,,,
86,1403696541000,"Riding","20C","18C","86%","114.743V","0","-4","11","28C","12C","0",,,,,,
87,1403696544000,"Riding","20C","18C","86%","114.751V","0","-27","11","28C","12C","0",,,,,,
88,1403696547000,"Riding","20C","18C","86%","114.773V","0","-29","11","28C","12C","0",,,,,,
89,1403696550000,"Riding","20C","18C","86%","114.655V","0","-18","11","28C","12C","0",,,,,,
90,1403696553000,"Riding","20C","18C","86%","114.785V","0","-19","11","28C","12C","0",,,,,,
91,1403696556000,"Riding","20C","18C","86%","114.796V","0","-19","11","28C","12C","0",,,,,,
92,1403696559000,"Riding","20C","18C","86%","114.795V","0","-18","11","28C","12C","0",,,,,,
93,1403696562000,"Riding","20C","18C","86%","114.713V","0","-15","11","28C","12C","0",,,,,,
94,1403696565000,"Riding","20C","18C","89%","114.727V","0","-13","11","28C","12C","0",,,,,,
95,1403696568000,"Riding","20C","18C","89%","114.748V","0","-27","11","28C","12C","0",,,,,,
96,1403696571000,"Riding","20C","18C","89%","114.771V","0","-19","11","28C","12C","0",,,,,,
97,1403696574000,"Riding","20C","18C","89%","114.820V","0","-16","11","28C","12C","0",,,,,,
98,1403696577000,"Riding","20C","18C","89%","114.784V","0","-11","11","28C","12C","0",,,,,,
99,1403696580000,"Riding","20C","18C","89%","114.754V","0","-13","11","28C","12C","0",,,,,,
100,1403696583000,"Riding","20C","18C","89%","114.864V","0","-17","11","28C","12C","0",,,,,,
101,1403696586000,"Riding","20C","18C","89%","114.890V","0","-11","11","28C","12C","0",,,,,,
102,1403696589000,"Riding","20C","18C","89%","114.924V","0","-13","11","28C","12C","0",,,,,,
103,1403696592000,"Riding","20C","18C","89%","114.962V","0","-13","11","28C","12C","0",,,,,,
104,1403696595000,"Riding","20C","18C","91%","114.971V","0","-9","11","28C","12C","0",,,,,,
105,1403696598000,"Riding","20C","18C","91%","114.983V","0","-30","11","28C","12C","0",,,,,,
106,1403696601000,"Riding","20C","18C","91%","115.018V","0","-27","11","27C","12C","0",,,,,,
107,1403696604000,"Riding","20C","18C","91%","115.035V","0","-26","11","27C","12C","0",,,,,,
108,1403696607000,"Riding","20C","18C","91%","115.025V","0","-23","11","28C","12C","0",,,,,,
109,1403696610000,"Riding","20C","18C","91%","114.999V","0","-20","11","27C","12C","0",,,,,,
110,1403696613000,"Riding","20C","18C","91%","114.691V","0","-13","11","27C","12C","0",,,,,,
111,1403696616000,"Riding","20C","18C","91%","114.795V","0","-13","11","27C","12C","0",,,,,,
112,1403696619000,"Riding","20C","18C","91%","114.898V","0","-12","11","27C","12C","0",,,,,,
113,1403696622000,"Riding","20C","18C","91%","114.976V","0","-10","11","27C","12C","0",,,,,,
114,1403696625000,"Riding","20C","18C","91%","115.024V","0","-12","11","27C","12C","0",,,,,,
115,1403696628000,"Riding","20C","18C","91%","115.048V","0","-14","11","28C","12C","0",,,,,,
116,1403696631000,"Riding","20C","18C","91%","115.056V","0","-17","11","27C","12C","0",,,,,,
117,1403696634000,"Riding","20C","18C","91%","114.933V","0","-18","11","27C","12C","0",,,,,,
118,1403696637000,"Riding","20C","18C","91%","114.831V","0","-18","11","27C","12C","0",,,,,,
119,1403696640000,"Riding","20C","18C","91%","114.833V","0","-18","11","27C","12C","0",,,,,,
120,1403696643000,"Riding","20C","18C","91%","114.969V","0","-21","11","27C","12C","0",,,,,,
121,1403696646000,"Riding","20C","18C","91%","114.702V","0","-20","11","27C","12C","0",,,,,,
122,1403696649000,"Riding","20C","18C","91%","114.584V","0","-23","11","27C","12C","0",,,,,,
123,1403696652000,"Riding","20C","18C","91%","114.491V","0","-26","11","27C","12C","0",,,,,,
124,1403696655000,"Riding","20C","18C","91%","114.533V","0","-33","11","27C","12C","0",,,,,,
125,1403696658000,"Riding","20C","18C","91%","114.711V","0","-30","11","27C","12C","0",,,,,,
126,1403696661000,"Riding","20C","18C","91%","115.038V","0","-20","11","27C","12C","0",,,,,,
127,1403696664000,"Riding","20C","18C","91%","115.105V","0","-18","11","27C","12C","0",,,,,,
128,1403696667000,"Riding","20C","18C","91%","115.066V","0","-20","11","28C","12C","0",,,,,,
129,1403696670000,"Riding","20C","18C","91%","115.216V","0","-21","11","27C","12C","0",,,,,,
130,1403696673000,"Riding","20C","18C","91%","115.278V","0","-21","11","27C","12C","0",,,,,,
131,1403696676000,"Riding","20C","18C","91%","115.293V","0","-23","11","27C","12C","0",,,,,,
132,1403696679000,"Riding","20C","18C","91%","115.311V","0","-24","11","27C","12C","0",,,,,,
133,1403696682000,"Riding","20C","18C","91%","115.339V","0","-24","11","27C","12C","0",,,,,,
134,1403696685000,"Riding","20C","18C","91%","115.330V","0","-24","11","27C","12C","0",,,,,,
135,1403696688000,"Riding","20C","18C","91%","115.365V","0","-26","11","27C","12C","0",,,,,,
136,1403696691000,"Riding","20C","18C","91%","115.092V","0","-17","11","27C","12C","0",,,,,,
137,1403696694000,"Riding","20C","18C","91%","115.311V","0","-24","11","27C","12C","0",,,,,,
138,1403696697000,"Riding","20C","18C","91%","114.826V","0","-32","11","27C","12C","0",,,,,,
139,1403696700000,"Riding","20C","18C","91%","115.388V","0","-23","11","27C","12C","0",,,,,,
140,1403696703000,"Riding","20C","18C","91%","115.409V","0","-10","11","26C","12C","0",,,,,,
141,1403696706000,"Riding","20C","18C","91%","115.451V","0","-12","11","27C","12C","0",,,,,,
142,1403696709000,"Riding","20C","18C","91%","115.449V","0","-12","11","27C","12C","0",,,,,,
143,1403696712000,"Riding","20C","18C","91%","115.460V","0","-12","11","27C","12C","0",,,,,,
144,1403696715000,"Riding","20C","18C","91%","115.460V","0","-11","11","26C","12C","0",,,,,,
145,1403696718000,"Riding","20C","18C","91%","115.483V","0","-8","11","26C","12C","0",,,,,,
146,1403696721000,"Riding","20C","18C","91%","115.505V","0","-7","11","26C","12C","0",,,,,,
147,1403696724000,"Riding","20C","18C","91%","115.507V","0","-6","11","27C","12C","0",,,,,,
148,1403696727000,"Riding","20C","18C","91%","115.486V","0","-8","11","26C","12C","0",,,,,,
149,1403696730000,"Riding","20C","18C","91%","115.424V","0","-17","11","27C","12C","0",,,,,,
150,1403696733000,"Riding","20C","18C","91%","114.852V","0","-30","11","27C","12C","0",,,,,,
151,1403696736000,"Riding","20C","18C","91%","114.987V","0","-34","11","27C","12C","0",,,,,,
152,1403696739000,"Riding","20C","18C","91%","115.373V","0","-26","11","27C","12C","0",,,,,,
153,1403696742000,"Riding","20C","18C","91%","115.513V","0","-21","11","26C","12C","0",,,,,,
154,1403696745000,"Riding","20C","18C","91%","115.535V","0","-14","11","26C","12C","0",,,,,,
155,1403696748000,"Riding","20C","18C","91%","115.621V","0","-6","11","26C","12C","0",,,,,,
156,1403696751000,"Riding","20C","18C","91%","115.647V","0","-6","11","26C","12C","0",,,,,,
157,1403696754000,"Riding","20C","18C","91%","115.612V","0","-10","11","26C","12C","0",,,,,,
158,1403696757000,"Riding","20C","18C","91%","115.608V","0","-20","11","26C","12C","0",,,,,,
159,1403696760000,"Riding","20C","18C","91%","115.617V","0","-10","11","26C","12C","0",,,,,,
160,1403696763000,"Riding","20C","18C","91%","115.694V","0","-18","11","26C","12C","0",,,,,,
161,1403696766000,"Riding","20C","18C","91%","115.585V","0","-6","11","26C","12C","0",,,,,,
162,1403696769000,"Riding","20C","18C","91%","115.394V","0","-12","11","26C","12C","0",,,,,,
163,1403696772000,"Riding","20C","18C","91%","115.135V","0","-26","11","26C","12C","0",,,,,,
164,1403696775000,"Riding","20C","18C","91%","115.152V","0","-30","11","26C","12C","0",,,,,,
165,1403696778000,"Riding","20C","18C","91%","114.998V","0","-30","11","26C","12C","0",,,,,,
166,1403696781000,"Riding","20C","18C","91%","115.689V","0","-27","11","26C","12C","0",,,,,,
167,1403696784000,"Riding","20C","18C","91%","115.508V","0","-29","11","26C","12C","0",,,,,,
168,1403696787000,"Riding","20C","18C","91%","115.725V","0","-4","11","26C","12C","0",,,,,,
169,1403696790000,"Riding","20C","18C","91%","115.621V","0","-8","11","26C","12C","0",,,,,,
170,1403696793000,"Riding","20C","18C","91%","115.358V","0","-17","11","26C","12C","0",,,,,,
171,1403696796000,"Riding","20C","18C","91%","115.068V","0","-31","11","26C","12C","0",,,,,,
172,1403696799000,"Riding","20C","18C","91%","115.158V","0","-33","11","26C","12C","0",,,,,,
173,1403696802000,"Riding","20C","18C","91%","115.459V","0","-30","11","26C","12C","0",,,,,,
174,1403696805000,"Riding","20C","18C","91%","115.761V","0","-22","11","26C","12C","0",,,,,,
175,1403696808000,"Riding","20C","18C","91%","115.868V","0","-10","11","26C","12C","0",,,,,,
176,1403696811000,"Riding","20C","18C","91%","115.855V","0","-5","11","26C","12C","0",,,,,,
177,1403696814000,"Riding","20C","18C","91%","115.793V","0","-3","11","26C","12C","0",,,,,,
178,1403696817000,"Riding","20C","18C","91%","115.623V","0","-11","11","26C","12C","0",,,,,,
179,1403696820000,"Riding","20C","18C","91%","115.931V","0","-9","11","26C","12C","0",,,,,,
180,1403696823000,"Riding","20C","18C","91%","115.815V","0","-5","11","26C","12C","0",,,,,,
181,1403696826000,"Riding","20C","18C","91%","115.666V","0","-9","11","26C","12C","0",,,,,,
182,1403696829000,"Riding","20C","18C","91%","115.328V","0","-22","11","25C","12C","0",,,,,,
183,1403696832000,"Riding","20C","18C","91%","115.211V","0","-33","11","26C","12C","0",,,,,,
184,1403696835000,"Riding","20C","18C","91%","115.442V","0","-32","11","26C","12C","0",,,,,,
185,1403696838000,"Riding","20C","18C","91%","115.853V","0","-23","11","25C","12C","0",,,,,,
186,1403696841000,"Riding","20C","18C","91%","116.016V","0","-7","11","25C","12C","0",,,,,,
187,1403696844000,"Riding","20C","18C","91%","115.646V","0","-30","11","25C","12C","0",,,,,,
188,1403696847000,"Riding","20C","18C","91%","115.783V","0","-18","11","26C","12C","0",,,,,,
189,1403696850000,"Riding","20C","18C","91%","115.864V","0","-22","11","25C","12C","0",,,,,,
190,1403696853000,"Riding","20C","18C","91%","115.931V","0","-27","11","25C","12C","0",,,,,,
191,1403696856000,"Riding","20C","18C","91%","116.029V","0","-9","11","25C","12C","0",,,,,,
192,1403696859000,"Riding","20C","18C","91%","116.004V","0","-14","11","25C","12C","0",,,,,,
193,1403696862000,"Riding","20C","18C","91%","115.669V","0","-21","11","25C","12C","0",,,,,,
194,1403696865000,"Riding","20C","18C","91%","115.994V","0","-26","11","25C","12C","0",,,,,,
195,1403696868000,"Riding","20C","18C","91%","115.906V","0","-20","11","25C","12C","0",,,,,,
196,1403696871000,"Riding","20C","18C","91%","115.866V","0","-14","11","25C","12C","0",,,,,,
197,1403696874000,"Riding","20C","18C","91%","116.071V","0","-10","11","25C","12C","0",,,,,,
198,1403696877000,"Riding","20C","18C","91%","115.984V","0","-15","11","25C","12C","0",,,,,,
199,1403696880000,"Riding","20C","18C","91%","115.770V","0","-22","11","25C","12C","0",,,,,,
200,1403696883000,"Riding","20C","18C","91%","116.003V","0","-27","11","25C","12C","0",,,,,,
201,1403696886000,"Riding","20C","18C","91%","115.962V","0","-23","11","25C","12C","0",,,,,,
202,1403696889000,"Riding","20C","18C","91%","116.000V","0","-18","11","25C","12C","0",,,,,,
203,1403696892000,"Riding","20C","18C","91%","115.962V","0","-17","11","25C","12C","0",,,,,,
204,1403696895000,"Riding","20C","18C","91%","115.674V","0","-15","11","25C","12C","0",,,,,,
205,1403696898000,"Riding","20C","18C","91%","115.392V","0","-25","11","25C","12C","0",,,,,,
206,1403696901000,"Riding","20C","18C","91%","115.876V","0","-15","11","25C","12C","0",,,,,,
207,1403696904000,"Riding","20C","18C","91%","115.727V","0","-24","11","25C","12C","0",,,,,,
208,1403696907000,"Riding","20C","18C","91%","116.008V","0","-25","11","25C","12C","0",,,,,,
209,1403696910000,"Riding","20C","18C","91%","115.896V","0","-16","11","25C","12C","0",,,,,,
210,1403696913000,"Riding","20C","18C","91%","116.079V","0","-5","11","25C","12C","0",,,,,,
211,1403696916000,"Riding","20C","18C","91%","116.051V","0","-8","11","25C","12C","0",,,,,,
212,1403696919000,"Riding","20C","18C","91%","115.685V","0","-17","11","25C","12C","0",,,,,,
213,1403696922000,"Riding","20C","18C","91%","115.705V","0","-27","11","25C","12C","0",,,,,,
214,1403696925000,"Riding","20C","18C","91%","116.008V","0","-25","11","25C","12C","0",,,,,,
215,1403696928000,"Riding","20C","18C","93%","116.099V","0","-6","11","25C","12C","0",,,,,,
216,1403696931000,"Riding","20C","18C","93%","115.888V","0","-5","11","25C","12C","0",,,,,,
217,1403696934000,"Riding","20C","18C","93%","115.496V","0","-21","11","25C","12C","0",,,,,,
218,1403696937000,"Riding","20C","18C","93%","115.677V","0","-28","11","25C","12C","0",,,,,,
219,1403696941000,"Riding","20C","18C","93%","115.953V","0","-11","11","25C","12C","0",,,,,,
220,1403696944000,"Riding","20C","18C","93%","116.098V","0","-4","11","25C","12C","0",,,,,,
221,1403696947000,"Riding","20C","18C","93%","115.924V","0","-11","11","25C","12C","0",,,,,,
222,1403696949000,"Riding","20C","18C","93%","116.000V","0","-11","11","25C","12C","0",,,,,,
223,1403696952000,"Riding","20C","18C","93%","115.971V","0","-3","11","25C","12C","0",,,,,,
224,1403696955000,"Riding","20C","18C","95%","115.631V","0","-8","11","25C","12C","0",,,,,,
225,1403696958000,"Riding","20C","18C","95%","115.554V","0","-21","11","25C","12C","0",,,,,,
226,1403696961000,"Riding","20C","18C","95%","115.893V","0","-25","11","25C","12C","0",,,,,,
227,1403696965000,"Riding","20C","18C","95%","115.987V","0","-25","11","25C","12C","0",,,,,,
228,1403696968000,"Riding","20C","18C","95%","116.112V","0","-20","11","25C","12C","0",,,,,,
229,1403696971000,"Riding","20C","18C","95%","116.039V","0","-8","11","25C","12C","0",,,,,,
230,1403696974000,"Riding","20C","18C","95%","116.048V","0","-4","11","25C","12C","0",,,,,,
231,1403696977000,"Riding","20C","18C","95%","115.975V","0","-5","11","25C","12C","0",,,,,,
232,1403696980000,"Riding","20C","18C","95%","115.824V","0","-11","11","25C","12C","0",,,,,,
233,1403696983000,"Riding","20C","18C","95%","115.938V","0","-22","11","25C","12C","0",,,,,,
234,1403696986000,"Riding","20C","18C","95%","116.034V","0","-13","11","25C","12C","0",,,,,,
235,1403696989000,"Riding","20C","18C","95%","116.107V","0","-14","11","25C","12C","0",,,,,,
236,1403696992000,"Riding","20C","18C","95%","116.116V","0","-3","11","25C","12C","0",,,,,,
237,1403696995000,"Riding","20C","18C","95%","116.084V","0","-2","11","24C","12C","0",,,,,,
238,1403696998000,"Riding","20C","18C","95%","115.953V","0","-7","11","24C","12C","0",,,,,,
239,1403697001000,"Riding","20C","18C","95%","115.677V","0","-19","11","24C","12C","0",,,,,,
240,1403697004000,"Riding","20C","18C","95%","115.212V","0","-1","11","24C","12C","0",,,,,,
241,1403697007000,"Riding","20C","18C","95%","115.151V","0","0","11","24C","12C","0",,,,,,
242,1403697010000,"Riding","20C","18C","95%","115.104V","0","0","11","24C","12C","0",,,,,,
243,1403697013000,"Riding","20C","18C","95%","115.062V","0","0","11","24C","12C","0",,,,,,
244,1403697016000,"Riding","20C","18C","95%","115.028V","0","0","11","24C","12C","0",,,,,,
245,1403697019000,"Riding","20C","18C","95%","114.997V","0","0","11","24C","12C","0",,,,,,
246,1403697022000,"Riding","20C","18C","95%","114.972V","0","0","11","24C","12C","0",,,,,,
247,1403697025000,"Riding","20C","18C","95%","114.945V","0","0","11","24C","12C","0",,,,,,
248,1403697028000,"Riding","20C","18C","95%","114.922V","0","0","11","24C","12C","0",,,,,,
249,1403697031000,"Riding","20C","18C","95%","114.903V","0","0","11","24C","12C","0",,,,,,
250,1403697034000,"Riding","20C","18C","95%","114.882V","0","0","11","24C","12C","0",,,,,,
251,1403697037000,"Riding","20C","18C","95%","114.862V","0","0","11","24C","12C","0",,,,,,
252,1403697040000,"Riding","20C","18C","95%","114.849V","0","-1","11","24C","12C","0",,,,,,
253,1403697043000,"Riding","20C","18C","95%","114.838V","0","0","11","24C","12C","0",,,,,,
254,1403697046000,"Riding","20C","18C","95%","114.818V","0","0","11","24C","12C","0",,,,,,
255,1403697049000,"Riding","20C","18C","95%","114.806V","0","0","11","24C","12C","0",,,,,,
256,1403697052000,"Riding","20C","18C","95%","114.798V","0","0","11","24C","12C","0",,,,,,
257,1403697055000,"Riding","20C","18C","95%","114.784V","0","-1","11","24C","12C","0",,,,,,
258,1403697058000,"Riding","20C","18C","95%","114.769V","0","0","11","24C","12C","0",,,,,,
259,1403697061000,"Riding","20C","18C","95%","114.762V","0","-1","11","23C","12C","0",,,,,,
260,1403697064000,"Riding","20C","18C","95%","114.751V","0","-1","11","24C","12C","0",,,,,,
261,1403697067000,"Riding","20C","18C","95%","114.740V","0","-1","11","23C","12C","0",,,,,,
262,1403697070000,"Riding","20C","18C","95%","114.731V","0","0","11","24C","12C","0",,,,,,
263,1403697073000,"Riding","20C","18C","95%","114.719V","0","-2","11","23C","12C","0",,,,,,
264,1403697076000,"Riding","20C","18C","95%","114.714V","0","0","11","24C","12C","0",,,,,,
265,1403697079000,"Riding","20C","18C","95%","114.704V","0","0","11","24C","12C","0",,,,,,
266,1403697082000,"Riding","20C","18C","95%","114.702V","0","-1","11","24C","12C","0",,,,,,
267,1403697085000,"Riding","20C","18C","95%","114.698V","0","0","11","24C","12C","0",,,,,,
268,1403697088000,"Riding","20C","18C","95%","114.693V","0","-1","11","24C","12C","0",,,,,,
269,1403697091000,"Riding","20C","18C","95%","114.683V","0","-1","11","24C","12C","0",,,,,,
270,1403697094000,"Riding","20C","18C","95%","114.678V","0","0","11","23C","12C","0",,,,,,
271,1403697097000,"Riding","20C","18C","95%","114.676V","0","-1","11","24C","12C","0",,,,,,
272,1403697100000,"Riding","20C","18C","95%","114.671V","0","-1","11","23C","12C","0",,,,,,
273,1403697103000,"Riding","20C","18C","95%","114.669V","0","-1","11","23C","12C","0",,,,,,
274,1403697106000,"Riding","20C","18C","95%","114.663V","0","0","11","23C","12C","0",,,,,,
275,1403697109000,"Riding","20C","18C","95%","114.657V","0","0","11","23C","12C","0",,,,,,
276,1403697112000,"Riding","19C","18C","95%","114.651V","0","0","11","23C","12C","0",,,,,,
277,1403697115000,"Riding","19C","18C","95%","114.645V","0","-2","11","23C","12C","0",,,,,,
278,1403697118000,"Riding","20C","18C","95%","114.643V","0","-1","11","23C","12C","0",,,,,,
279,1403697121000,"Riding","20C","17C","95%","114.635V","0","-1","11","23C","12C","0",,,,,,
280,1403697124000,"Riding","19C","18C","95%","114.632V","0","0","11","23C","12C","0",,,,,,
281,1403697127000,"Riding","20C","18C","95%","114.630V","0","0","11","23C","12C","0",,,,,,
282,1403697130000,"Riding","19C","18C","95%","114.626V","0","-1","11","23C","12C","0",,,,,,
283,1403697133000,"Riding","19C","18C","95%","114.625V","0","-1","11","23C","12C","0",,,,,,
284,1403697136000,"Riding","19C","18C","95%","114.622V","0","-1","11","23C","12C","0",,,,,,
285,1403697139000,"Riding","20C","17C","95%","114.622V","0","-1","11","23C","12C","0",,,,,,
286,1403697142000,"Riding","19C","18C","95%","114.619V","0","0","11","23C","12C","0",,,,,,
287,1403697145000,"Riding","20C","17C","95%","114.621V","0","-1","11","23C","12C","0",,,,,,
288,1403697148000,"Riding","19C","17C","95%","114.616V","0","-2","11","23C","12C","0",,,,,,
289,1403697151000,"Riding","20C","17C","95%","114.615V","0","-1","11","23C","12C","0",,,,,,
